dataset,model_name,metric_name,metric_value,error_notes
Amod/mental_health_counseling_conversations,nvidia/Llama3-ChatQA-2-8B,,,
Amod/mental_health_counseling_conversations,TheBloke/Llama-2-13B-chat-GGUF,,,
Amod/mental_health_counseling_conversations,bartowski/Llama-3-ChatQA-1.5-8B-GGUF,,,
Amod/mental_health_counseling_conversations,NousResearch/Llama-2-7b-chat-hf,,,
Amod/mental_health_counseling_conversations,unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit,,,
Anthropic/llm_global_opinions,google/gemma-3-12b-it-qat-q4_0-gguf,,,
Anthropic/llm_global_opinions,trillionlabs/Trillion-7B-preview,,,
Anthropic/llm_global_opinions,mradermacher/Qwen3-14B-YOYO-GGUF,,,
Anthropic/llm_global_opinions,google/gemma-3n-E4B-it,,,
Anthropic/llm_global_opinions,unsloth/Qwen3-8B,,,
CFPB/consumer-finance-complaints,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33,,,
CFPB/consumer-finance-complaints,ChanceFocus/finma-7b-full,,,
CFPB/consumer-finance-complaints,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,,,
CFPB/consumer-finance-complaints,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,,,
CFPB/consumer-finance-complaints,MoritzLaurer/deberta-v3-base-zeroshot-v2.0-c,,,
FinGPT/fingpt-sentiment-train,IDEA-CCNL/Erlangshen-Roberta-110M-Sentiment,,,
FinGPT/fingpt-sentiment-train,bartowski/Hermes-2-Pro-Mistral-7B-GGUF,,,
FinGPT/fingpt-sentiment-train,NousResearch/Hermes-2-Pro-Mistral-7B,,,
FinGPT/fingpt-sentiment-train,tokyotech-llm/Gemma-2-Llama-Swallow-9b-pt-v0.1,,,
FinGPT/fingpt-sentiment-train,Qwen/Qwen2.5-7B-Instruct-1M,,,
HUPD/hupd,qwp4w3hyb/Hunyuan-A13B-Instruct-hf-WIP-GGUF,,,
HUPD/hupd,unsloth/DeepSeek-R1-Distill-Qwen-14B,,,
HUPD/hupd,bartowski/internlm3-8b-instruct-GGUF,,,
HUPD/hupd,sdadas/mmlw-roberta-base,,,
HUPD/hupd,yandex/YandexGPT-5-Lite-8B-instruct,,,
JanosAudran/financial-reports-sec,sdadas/mmlw-roberta-base,,,
JanosAudran/financial-reports-sec,gauneg/roberta-base-absa-ate-sentiment,,,
JanosAudran/financial-reports-sec,qwp4w3hyb/Hunyuan-A13B-Instruct-hf-WIP-GGUF,,,
JanosAudran/financial-reports-sec,unsloth/DeepSeek-R1-Distill-Qwen-14B,,,
