dataset_id,domain,huggingface_url
deepset/covid_qa_deepset,medicine_health,https://huggingface.co/datasets/deepset/covid_qa_deepset
bigbio/chemprot,medicine_health,https://huggingface.co/datasets/bigbio/chemprot
bigbio/bc5cdr,medicine_health,https://huggingface.co/datasets/bigbio/bc5cdr
bigbio/ddi_corpus,medicine_health,https://huggingface.co/datasets/bigbio/ddi_corpus
ade-benchmark-corpus/ade_corpus_v2,medicine_health,https://huggingface.co/datasets/ade-benchmark-corpus/ade_corpus_v2
Amod/mental_health_counseling_conversations,medicine_health,https://huggingface.co/datasets/Amod/mental_health_counseling_conversations
bigbio/ncbi_disease,medicine_health,https://huggingface.co/datasets/bigbio/ncbi_disease
bigbio/n2c2_2018_track2,medicine_health,https://huggingface.co/datasets/bigbio/n2c2_2018_track2
medalpaca/medical_meadow_medqa,medicine_health,https://huggingface.co/datasets/medalpaca/medical_meadow_medqa
starmpcc/Asclepius-Synthetic-Clinical-Notes,medicine_health,https://huggingface.co/datasets/starmpcc/Asclepius-Synthetic-Clinical-Notes
bigbio/mediqa_qa,medicine_health,https://huggingface.co/datasets/bigbio/mediqa_qa
allenai/mslr2022,medicine_health,https://huggingface.co/datasets/allenai/mslr2022
gamino/wiki_medical_terms,medicine_health,https://huggingface.co/datasets/gamino/wiki_medical_terms
bigbio/bioasq_task_b,medicine_health,https://huggingface.co/datasets/bigbio/bioasq_task_b
ccdv/pubmed-summarization,science,https://huggingface.co/datasets/ccdv/pubmed-summarization
allenai/quartz,science,https://huggingface.co/datasets/allenai/quartz
allenai/peer_read,science,https://huggingface.co/datasets/allenai/peer_read
midas/inspec,science,https://huggingface.co/datasets/midas/inspec
midas/duc2001,science,https://huggingface.co/datasets/midas/duc2001
midas/semeval2017,science,https://huggingface.co/datasets/midas/semeval2017
griffin/ChemSum,science,https://huggingface.co/datasets/griffin/ChemSum
coastalcph/lex_glue,law_legal,https://huggingface.co/datasets/coastalcph/lex_glue
theatticusproject/cuad,law_legal,https://huggingface.co/datasets/theatticusproject/cuad
HUPD/hupd,law_legal,https://huggingface.co/datasets/HUPD/hupd
coastalcph/multi_eurlex,law_legal,https://huggingface.co/datasets/coastalcph/multi_eurlex
joelniklaus/legal_case_document_summarization,law_legal,https://huggingface.co/datasets/joelniklaus/legal_case_document_summarization
TheFinAI/fiqa-sentiment-classification,finance_business,https://huggingface.co/datasets/TheFinAI/fiqa-sentiment-classification
JanosAudran/financial-reports-sec,finance_business,https://huggingface.co/datasets/JanosAudran/financial-reports-sec
virattt/financial-qa-10K,finance_business,https://huggingface.co/datasets/virattt/financial-qa-10K
zeroshot/twitter-financial-news-sentiment,finance_business,https://huggingface.co/datasets/zeroshot/twitter-financial-news-sentiment
gtfintechlab/finer-ord,finance_business,https://huggingface.co/datasets/gtfintechlab/finer-ord
nlpaueb/finer-139,finance_business,https://huggingface.co/datasets/nlpaueb/finer-139
dreamerdeo/finqa,finance_business,https://huggingface.co/datasets/dreamerdeo/finqa
FinGPT/fingpt-sentiment-train,finance_business,https://huggingface.co/datasets/FinGPT/fingpt-sentiment-train
ashraq/financial-news-articles,finance_business,https://huggingface.co/datasets/ashraq/financial-news-articles
CFPB/consumer-finance-complaints,finance_business,https://huggingface.co/datasets/CFPB/consumer-finance-complaints
cornell-movie-review-data/rotten_tomatoes,literature_arts,https://huggingface.co/datasets/cornell-movie-review-data/rotten_tomatoes
google-research-datasets/poem_sentiment,literature_arts,https://huggingface.co/datasets/google-research-datasets/poem_sentiment
biglam/gutenberg-poetry-corpus,literature_arts,https://huggingface.co/datasets/biglam/gutenberg-poetry-corpus
cornell-movie-dialog/cornell_movie_dialog,literature_arts,https://huggingface.co/datasets/cornell-movie-dialog/cornell_movie_dialog
sileod/movie_recommendation,literature_arts,https://huggingface.co/datasets/sileod/movie_recommendation
cais/mmlu,general_knowledge_commonsense,https://huggingface.co/datasets/cais/mmlu
ybisk/piqa,general_knowledge_commonsense,https://huggingface.co/datasets/ybisk/piqa
allenai/cosmos_qa,general_knowledge_commonsense,https://huggingface.co/datasets/allenai/cosmos_qa
wics/strategy-qa,general_knowledge_commonsense,https://huggingface.co/datasets/wics/strategy-qa
pkavumba/balanced-copa,general_knowledge_commonsense,https://huggingface.co/datasets/pkavumba/balanced-copa
google-research-datasets/paws,general_knowledge_commonsense,https://huggingface.co/datasets/google-research-datasets/paws
facebook/anli,general_knowledge_commonsense,https://huggingface.co/datasets/facebook/anli
nyu-mll/multi_nli,general_knowledge_commonsense,https://huggingface.co/datasets/nyu-mll/multi_nli
RobZamp/sick,general_knowledge_commonsense,https://huggingface.co/datasets/RobZamp/sick
sentence-transformers/yahoo-answers,general_knowledge_commonsense,https://huggingface.co/datasets/sentence-transformers/yahoo-answers
sentence-transformers/eli5,general_knowledge_commonsense,https://huggingface.co/datasets/sentence-transformers/eli5
fancyzhx/dbpedia_14,news_media,https://huggingface.co/datasets/fancyzhx/dbpedia_14
community-datasets/yahoo_answers_topics,news_media,https://huggingface.co/datasets/community-datasets/yahoo_answers_topics
SetFit/bbc-news,news_media,https://huggingface.co/datasets/SetFit/bbc-news
raquiba/Sarcasm_News_Headline,news_media,https://huggingface.co/datasets/raquiba/Sarcasm_News_Headline
ucirvine/reuters21578,news_media,https://huggingface.co/datasets/ucirvine/reuters21578
ccdv/WCEP-10,news_media,https://huggingface.co/datasets/ccdv/WCEP-10
SemEvalWorkshop/hyperpartisan_news_detection,news_media,https://huggingface.co/datasets/SemEvalWorkshop/hyperpartisan_news_detection
cardiffnlp/tweet_eval,social_media_sentiment,https://huggingface.co/datasets/cardiffnlp/tweet_eval
fancyzhx/amazon_polarity,social_media_sentiment,https://huggingface.co/datasets/fancyzhx/amazon_polarity
fancyzhx/yelp_polarity,social_media_sentiment,https://huggingface.co/datasets/fancyzhx/yelp_polarity
google-research-datasets/go_emotions,social_media_sentiment,https://huggingface.co/datasets/google-research-datasets/go_emotions
odegiber/hate_speech18,social_media_sentiment,https://huggingface.co/datasets/odegiber/hate_speech18
ucsbnlp/liar,social_media_sentiment,https://huggingface.co/datasets/ucsbnlp/liar
chengxuphd/liar2,social_media_sentiment,https://huggingface.co/datasets/chengxuphd/liar2
ucberkeley-dlab/measuring-hate-speech,social_media_sentiment,https://huggingface.co/datasets/ucberkeley-dlab/measuring-hate-speech
google/civil_comments,social_media_sentiment,https://huggingface.co/datasets/google/civil_comments
li2017dailydialog/daily_dialog,dialogue,https://huggingface.co/datasets/li2017dailydialog/daily_dialog
knkarthick/samsum,dialogue,https://huggingface.co/datasets/knkarthick/samsum
facebook/empathetic_dialogues,dialogue,https://huggingface.co/datasets/facebook/empathetic_dialogues
ParlAI/blended_skill_talk,dialogue,https://huggingface.co/datasets/ParlAI/blended_skill_talk
google-research-datasets/taskmaster1,dialogue,https://huggingface.co/datasets/google-research-datasets/taskmaster1
tuetschek/multi_woz_v22,dialogue,https://huggingface.co/datasets/tuetschek/multi_woz_v22
fever/fever,fact_verification,https://huggingface.co/datasets/fever/fever
tdiggelm/climate_fever,fact_verification,https://huggingface.co/datasets/tdiggelm/climate_fever
hover-nlp/hover,fact_verification,https://huggingface.co/datasets/hover-nlp/hover
tals/vitaminc,fact_verification,https://huggingface.co/datasets/tals/vitaminc
climatebert/environmental_claims,fact_verification,https://huggingface.co/datasets/climatebert/environmental_claims
climatebert/climate_commitments_actions,fact_verification,https://huggingface.co/datasets/climatebert/climate_commitments_actions
MU-NLPC/Calc-asdiv_a,math_reasoning,https://huggingface.co/datasets/MU-NLPC/Calc-asdiv_a
deepmind/aqua_rat,math_reasoning,https://huggingface.co/datasets/deepmind/aqua_rat
deepmind/math_dataset,math_reasoning,https://huggingface.co/datasets/deepmind/math_dataset
microsoft/orca-math-word-problems-200k,math_reasoning,https://huggingface.co/datasets/microsoft/orca-math-word-problems-200k
Anthropic/llm_global_opinions,government_politics_opinion,https://huggingface.co/datasets/Anthropic/llm_global_opinions
ccdv/govreport-summarization,government_politics_opinion,https://huggingface.co/datasets/ccdv/govreport-summarization
launch/gov_report,government_politics_opinion,https://huggingface.co/datasets/launch/gov_report
ought/raft,government_politics_opinion,https://huggingface.co/datasets/ought/raft
launch/gov_report_qs,government_politics_opinion,https://huggingface.co/datasets/launch/gov_report_qs
McAuley-Lab/Amazon-Reviews-2023,customer_service_product,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023
bitext/Bitext-customer-support-llm-chatbot-training-dataset,customer_service_product,https://huggingface.co/datasets/bitext/Bitext-customer-support-llm-chatbot-training-dataset
embedding-data/Amazon-QA,customer_service_product,https://huggingface.co/datasets/embedding-data/Amazon-QA
clinc/clinc_oos,customer_service_product,https://huggingface.co/datasets/clinc/clinc_oos
james-burton/wine_reviews,customer_service_product,https://huggingface.co/datasets/james-burton/wine_reviews
