condition,query_dataset,rank,model_name,recommendation_score,source_method,reasoning
A_merged,Amod/mental_health_counseling_conversations,1,nvidia/Llama3-ChatQA-2-8B,0.79,method1,Best measured result on the closest similar benchmark McGill-NLP/TopiOCQA with f1=0.5575. Its ChatQA specialization makes it the strongest text conversational QA fit for Amod/mental_health_counseling_conversations.
A_merged,Amod/mental_health_counseling_conversations,2,TheBloke/Llama-2-13B-chat-GGUF,0.74,method1,"Top-tier measured result on allenai/quac with accuracy=0.658, a dialogue-based question-answering benchmark similar to counseling QA. The chat-tuned 13B format is a strong match for generating conversational responses."
A_merged,Amod/mental_health_counseling_conversations,3,bartowski/Llama-3-ChatQA-1.5-8B-GGUF,0.70,method1,"Measured on the closest retrieved dataset McGill-NLP/TopiOCQA with f1=0.4996. Although below nvidia/Llama3-ChatQA-2-8B, it is still directly supported by conversational QA evidence."
A_merged,Amod/mental_health_counseling_conversations,4,NousResearch/Llama-2-7b-chat-hf,0.67,method1,"Measured on allenai/quac with accuracy=0.613, giving solid evidence on context-dependent dialogue QA. It is a smaller chat model but still relevant for English conversational response generation."
A_merged,Amod/mental_health_counseling_conversations,5,unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit,0.63,method1,"Measured on allenai/quac with f1=0.449, providing relevant though weaker evidence on dialogue QA. Its instruction-tuned 8B profile makes it a reasonable lower-ranked candidate for counseling-style response generation."
B_method1_only,Amod/mental_health_counseling_conversations,1,nvidia/Llama3-ChatQA-2-8B,0.84,method1,"Best measured result on the closest relevant conversational QA neighbor, McGill-NLP/TopiOCQA, with f1=0.5575. Its ChatQA focus makes it especially aligned with counseling question-response generation."
B_method1_only,Amod/mental_health_counseling_conversations,2,TheBloke/Llama-2-13B-chat-GGUF,0.79,method1,"Tied for the best measured result on allenai/quac with accuracy=0.658, a context-dependent dialogue QA benchmark. The chat-tuned 13B format is well aligned with conversational response tasks."
B_method1_only,Amod/mental_health_counseling_conversations,3,4bit/Llama-2-13b-chat-hf,0.77,method1,"Also tied for the top measured QuAC result with accuracy=0.658 on allenai/quac. As a Llama-2 13B chat model, it has strong evidence for contextual dialogue QA under the 14B limit."
B_method1_only,Amod/mental_health_counseling_conversations,4,bartowski/Llama-3-ChatQA-1.5-8B-GGUF,0.73,method1,Second-best measured result on the closest neighbor McGill-NLP/TopiOCQA with f1=0.4996. Its ChatQA specialization is relevant for the query dataset's counseling QA format.
B_method1_only,Amod/mental_health_counseling_conversations,5,NousResearch/Llama-2-7b-chat-hf,0.68,method1,"Strong measured performance on allenai/quac with accuracy=0.613, behind the 13B Llama-2 chat variants but still relevant. The chat-tuned 7B model is a plausible fit for contextual counseling conversations."
C_method2_only,Amod/mental_health_counseling_conversations,1,second-state/Wizard-Vicuna-13B-Uncensored-GGUF,0.82,method2,"Strongest measured track record among chat-oriented candidates, with allenai/hellaswag accuracy=0.8195, allenai/winogrande accuracy=0.7569, allenai/ai2_arc accuracy=0.5896, and EleutherAI/truthful_qa_binary accuracy=0.5169. Its Vicuna-style chat tuning makes it a plausible fit for counseling conversations."
C_method2_only,Amod/mental_health_counseling_conversations,2,mistralai/Mistral-7B-v0.1,0.76,method2,"Very strong general-language results with Rowan/hellaswag accuracy=0.813 and allenai/winogrande accuracy=0.753, plus a GNN predicted-performance score of 0.6969. The main caveat is that it is a base model and had weaker conversational QA evidence on allenai/quac with f1=0.239."
C_method2_only,Amod/mental_health_counseling_conversations,3,ceadar-ie/FinanceConnect-13B,0.72,method2,"Consistent measured performance across four datasets, including Rowan/hellaswag accuracy=0.7773, allenai/winogrande accuracy=0.7182, AdaptLLM/FPB accuracy=0.572, and allenai/ai2_arc accuracy=0.5512. Although finance-specialized, it is an English chat model with solid general reasoning evidence."
C_method2_only,Amod/mental_health_counseling_conversations,4,deepseek-ai/deepseek-coder-7b-base-v1.5,0.67,method2,"Has the broadest measured record here, with Rowan/hellaswag accuracy=0.699, EleutherAI/asdiv accuracy=0.672, allenai/winogrande accuracy=0.638, Arietem/tabmwp accuracy=0.634, and PNYX/bbh accuracy=0.552. It is less domain-aligned because it is a coder base model, but the multi-benchmark consistency is useful evidence."
C_method2_only,Amod/mental_health_counseling_conversations,5,mlabonne/Beyonder-4x7B-v3,0.61,method2,"Promising chat-oriented MoE candidate with a high GNN predicted-performance score of 0.7923 and a strong measured andersonbcdefg/gpt4all accuracy=0.7667. The evidence is limited to one measured dataset, so it ranks below models with broader measured track records."
D_claude_baseline,Amod/mental_health_counseling_conversations,1,Qwen/Qwen2.5-14B-Instruct,0.92,claude_baseline,"Largest allowed strong general-purpose instruction-tuned model with excellent conversational quality, safety alignment, and instruction-following — ideal for generating nuanced empathetic counseling replies after light SFT."
